Departamento;Delitos_Sexuales;Homicidios;Transito;Asalto;Intrafamiliar;Poblacion
Antioquia;2163;375;5079;11897;8205;6690977
Atlantico;1042;85;1928;59;3659;2546138
Bogota_D.C.;4211;1463;725;2725;19811;8181047
Bolivar;944;28;922;3812;2085;2171558
Boyaca;517;95;1167;4084;2707;1281979
Caldas;443;65;1248;2243;975;993870
Caqueta;221;18;121;654;449;496262
Cauca;420;62;861;2378;1475;1416145
Cesar;561;44;842;2757;1402;1065637
Cordoba;530;14;881;1716;647;1788648
Cundinamarca;1459;361;2569;10293;627;2804238
Choco;159;2;101;528;293;515166
Huila;498;68;1103;3815;2206;1197049
La_Guajira;319;27;194;1244;753;1040193
Magdalena;500;25;690;2993;1842;1298562
Meta;826;94;1103;3766;2769;1016672
narigno;199;77;1791;3605;1501;1809301
Norte_de_Santander;374;68;1069;3282;2184;1391366
Quindio;400;81;1217;2039;976;574960
Risaralda;540;73;2149;2251;1396;967780
Santander;1299;187;3277;7474;398;2090854
Sucre;404;17;271;1688;1083;877024
Tolima;616;68;2643;4263;2142;1419957
Valle_del_Cauca;1871;283;5599;9456;5146;4755760
Arauca;224;43;215;790;857;270708
Casanare;260;58;602;1384;1293;375258
Putumayo;204;22;143;698;411;358896
San_Andres;23;4;108;494;236;78413
Amazonas;66;3;24;251;204;78830
Guainia;37;17;28;88;59;43446
Guaviare;57;6;21;143;132;115829
Vaupes;0;0;0;1;2;44928
Vichada;12;1;40;61;30;77276
